MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Jan-15,54,Information Architect  ,Human Resources,Wisdom
Jan-15,55,Information Architect  ,Operations ,Wisdom
Jan-15,56,Information Architect  ,Science & Policy,Wisdom
Jan-15,57,Information Architect  ,Science & Policy,Wisdom
Jan-15,58,Information Governance EO,Operations ,Email
Jan-15,59,Information Architect  ,Wales,Wisdom
Jan-15,60,Information Architect  ,Science & Policy,Wisdom
Jan-15,61,Information Architect  ,Operations ,Wisdom
Jan-15,62,Information Governance Manager,Human Resources,Records Mgmt Advice
Jan-15,63,Information Architect  ,Science & Policy,Wisdom
Jan-15,64a,Information Architect  ,Operations ,Network Drives
Jan-15,64b,Information Architect  ,Operations ,Wisdom
Jan-15,65,Information Governance Manager,External - Other Government Dept,Data Protection Advice
Jan-15,66,Information Management  Team Leader,Finance & Strategic Planning,Email
Jan-15,67,Information Architect  ,Science & Policy,Wisdom
Jan-15,68,Information Architect  ,Science & Policy,Wisdom
Jan-15,69,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,70,Information Governance Manager,Science & Policy,Info Assurance Questionnaire
Jan-15,71,Information Architect  ,Science & Policy,Wisdom
Jan-15,72,Information Governance EO,Operations ,Data Protection Advice
Jan-15,73,Information Management  Team Leader,Operations ,Wisdom
Jan-15,74,Information Architect  ,Communications,Wisdom
Jan-15,75,Information Governance Manager,Science & Policy,Info Assurance Questionnaire
Jan-15,76,Information Governance Manager,Human Resources,Data Protection Advice
Jan-15,77,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,78,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,79,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,80,Information Management  Team Leader,Science & Policy,Email
Jan-15,81,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,82,Information Management  Team Leader,Operations ,Wisdom
Jan-15,83,Information Architect  ,Operations ,Email
Jan-15,84,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,85,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Jan-15,86,Information Architect  ,External - FSA Contractor,Wisdom
Jan-15,87,Info Temp,Finance & Strategic Planning,Records Mgmt Advice
Jan-15,88,Information Architect  ,Operations ,Wisdom
Jan-15,89,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,90,Information Management  Team Leader,Science & Policy,Email
Jan-15,91,Information Architect  ,Communications,Wisdom
Jan-15,92,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,93,Information Governance EO,Science & Policy,Email
Jan-15,94,Information Architect  ,Communications,Wisdom
Jan-15,95,Information Architect  ,Communications,Wisdom
Jan-15,96,Information Architect  ,Operations ,Wisdom
Jan-15,97,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,98,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,99,Information Architect  ,Finance & Strategic Planning,FEDS
Jan-15,100,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,101,Information Management  Team Leader,Wales,Email
Jan-15,102,Information Architect  ,Communications,Wisdom
Jan-15,103,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,104,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,105,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,106,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,107,Information Governance EO,Science & Policy,Data Protection Advice
Jan-15,108,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,109,Information Governance Manager,Private Office,Data Protection Advice
Jan-15,110,Information Architect  ,Science & Policy,Wisdom
Jan-15,111,Information Architect  ,Communications,Wisdom
Jan-15,112,Information Architect  ,Science & Policy,Wisdom
Jan-15,113,Information Governance Manager,Human Resources,s29 data protection Requests
Jan-15,114,Information Architect  ,Operations ,Wisdom
Jan-15,115,Information Governance Manager,Operations ,Non IKM Queries
Jan-15,116,Information Architect  ,Operations ,Wisdom
Jan-15,117,Information Management  Team Leader,Private Office,Wisdom
Jan-15,118,Information Management  Team Leader,Finance & Strategic Planning,Email
Jan-15,119,Information Governance EO,Private Office,Email
Jan-15,120,Information Management  Team Leader,Operations ,Wisdom
Jan-15,121,Information Architect  ,Operations ,Wisdom
Jan-15,122,Information Management  Team Leader,Finance & Strategic Planning,Records Mgmt Advice
Jan-15,123,Information Governance EO,Operations ,s29 data protection Requests
Jan-15,124,Information Management  Team Leader,Wales,Wisdom
Jan-15,125,Information Governance Manager,Science & Policy,Data Sharing
Jan-15,126,Information Governance Manager,Science & Policy,Data Sharing
Jan-15,127,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,128,Information Architect  ,Science & Policy,Wisdom
Jan-15,129,Information Governance EO,Science & Policy,Email
Feb-15,130,Information Governance Manager,Human Resources,Data Protection Advice
Feb-15,131,Information Governance Manager,Communications,Data Protection Advice
Feb-15,132,Information Architect  ,Human Resources,Wisdom
Feb-15,133,Information Architect  ,Operations ,Wisdom
Feb-15,134,Information Architect  ,Science & Policy,Wisdom
Feb-15,135,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,136,Information Architect  ,Science & Policy,Wisdom
Feb-15,137,Information Architect  ,Operations ,Wisdom
Feb-15,138,Information Architect  ,Science & Policy,Wisdom
Feb-15,139,Information Architect  ,Operations ,Wisdom
Feb-15,140,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,141,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,142,Information Architect  ,Wales,Wisdom
Feb-15,143,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,144,Information Governance Manager,Human Resources,Non IKM Queries
Feb-15,145,Information Governance Manager,Northern Ireland,Data Sharing
Feb-15,146,Information Architect  ,Operations ,Wisdom
Feb-15,147,Information Architect  ,Operations ,Wisdom
Feb-15,148,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,149,Information Architect  ,Science & Policy,Wisdom
Feb-15,150,Information Architect  ,Operations ,Wisdom
Feb-15,151,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,152,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,153,Information Management  Team Leader,Private Office,Wisdom
Feb-15,154,Information Architect  ,External - Other Government Dept,Wisdom
Feb-15,155,Information Management  Team Leader,Science & Policy,Wisdom
Feb-15,156,Information Architect  ,Science & Policy,Wisdom
Feb-15,157,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Feb-15,158,Information Governance Manager,Science & Policy,Data Sharing
Feb-15,159,Information Management  Team Leader,Operations ,Wisdom
Feb-15,160,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,161,Information Management  Team Leader,Wales,Wisdom
Feb-15,162,Information Architect  ,Science & Policy,Wisdom
Feb-15,163,Information Architect  ,Science & Policy,Wisdom
Feb-15,164,Information Architect  ,Communications,Wisdom
Feb-15,165,Information Management  Team Leader,Science & Policy,Wisdom
Feb-15,166,Information Architect  ,Private Office,Wisdom
Feb-15,167,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,168,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,169,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Feb-15,170,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,171,Information Architect  ,Communications,Wisdom
Feb-15,172,Information Governance EO,Private Office,Wisdom
Feb-15,173,Information Governance EO,Science & Policy,Wisdom
Feb-15,174,Information Architect  ,Operations ,Wisdom
Feb-15,175,Information Architect  ,Operations ,Wisdom
Feb-15,176,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,177,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,178,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Feb-15,179,Information Architect  ,Science & Policy,Wisdom
Feb-15,180,Information Management  Team Leader,Private Office,Information Asset Register
Feb-15,181,Information Architect  ,Operations ,Wisdom
Feb-15,182,Information Governance EO,Operations ,Data Protection Advice
Feb-15,183,Information Management  Team Leader,Operations ,Wisdom
Feb-15,184,Information Architect  ,Wales,Wisdom
Feb-15,185,Information Architect  ,Science & Policy,Wisdom
Feb-15,186,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Feb-15,187,Information Architect  ,Finance & Strategic Planning,Offsite Storage Issues
Feb-15,188,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,189,Information  Governance Manager Temp,Regulatory & Legal Strategy,Data Protection Advice
Feb-15,190,Information Governance EO,Communications,Email
Feb-15,191,Information Governance Manager,Operations ,Privacy Impact Assessments
Feb-15,192,Information Architect  ,Science & Policy,Wisdom
Feb-15,193,Information Architect  ,Operations ,Wisdom
Feb-15,194,Information Architect  ,Communications,Wisdom
Feb-15,195,Information Architect  ,Northern Ireland,Wisdom
Feb-15,196,Information Governance Caseworker ,Operations ,Privacy Impact Assessments
Feb-15,197,Information  Governance Manager Temp,Operations ,Privacy Impact Assessments
Feb-15,198,Information  Governance Manager Temp,Operations ,Privacy Impact Assessments
Feb-15,199,Information Governance Manager,Human Resources,Info Assurance Questionnaire
Feb-15,200,Information Management  Team Leader,Science & Policy,Wisdom
Feb-15,201,Information Management  Team Leader,Science & Policy,Wisdom
Feb-15,202,Information Governance Manager,Operations ,Data Sharing
Feb-15,203,Information Architect  ,Operations ,Wisdom
Feb-15,204,Information Architect  ,Science & Policy,Wisdom
Feb-15,205,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,206,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,207,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,208,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Feb-15,209,Information Architect  ,Science & Policy,Wisdom
Feb-15,210,Information Governance Manager,Communications,Data Protection Advice
Feb-15,211,Information Governance Manager,Finance & Strategic Planning,Info Assurance Questionnaire
Feb-15,212,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,213,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,214,Information Architect  ,Operations ,Wisdom
Feb-15,215,Information Architect  ,Operations ,Wisdom
Feb-15,216,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,217,Information Architect  ,Human Resources,Wisdom
Feb-15,218,Information Architect  ,Science & Policy,Wisdom
Feb-15,219,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Feb-15,220,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,221,Information Architect  ,Communications,Wisdom
Feb-15,222,Information Architect  ,Operations ,Wisdom
Feb-15,223,Information Governance EO,Science & Policy,Records Mgmt Advice
Feb-15,224,Information Architect  ,Wales,Wisdom
Feb-15,225,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,226,Information Governance EO,Operations ,Records Mgmt Advice
Feb-15,227,Information Governance Manager,Operations ,Non IKM Queries
Feb-15,228,Information Governance EO,Science & Policy,Data Protection Advice
Feb-15,229,Information Architect  ,Wales,Wisdom
Feb-15,230,Information Architect  ,Communications,Wisdom
Feb-15,231,Information Governance EO,External - FSA Contractor,Email
Feb-15,232,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,233,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,234,Information Architect  ,Operations ,Wisdom
Feb-15,235,Information Architect  ,Private Office,Wisdom
Feb-15,236,Information Architect  ,Operations ,Wisdom
Feb-15,237,Information Architect  ,Science & Policy,Wisdom
Feb-15,238,Information Architect  ,Private Office,Wisdom
Feb-15,239,Information Architect  ,Science & Policy,Wisdom
Feb-15,240,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,241,Information Architect  ,Finance & Strategic Planning,Wisdom
Feb-15,242,Information Architect  ,Operations ,Wisdom
Feb-15,243,Information Architect  ,Science & Policy,Wisdom
Mar-15,244,Information Governance EO,Finance & Strategic Planning,Email
Mar-15,245,Info Temp,Science & Policy,Non IKM Queries
Mar-15,246,Information Governance EO,Private Office,Offsite Storage Issues
Mar-15,247,Information Architect  ,Operations ,Wisdom
Mar-15,248,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,249,Information Architect  ,Science & Policy,Wisdom
Mar-15,250,Information Architect  ,Science & Policy,Wisdom
Mar-15,251,Information Architect  ,Communications,Wisdom
Mar-15,252,Information Architect  ,Science & Policy,Wisdom
Mar-15,253,Information Architect  ,Northern Ireland,Wisdom
Mar-15,254,Information Architect  ,Science & Policy,Wisdom
Mar-15,255,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,256,Information Architect  ,Science & Policy,Wisdom
Mar-15,257,Info Temp,Science & Policy,Email
Mar-15,258,Information Architect  ,Science & Policy,Wisdom
Mar-15,259,Info Temp,External - FSA Contractor,Email
Mar-15,260,Information Governance EO,Private Office,Data Protection Advice
Mar-15,261,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Mar-15,262,Information Architect  ,Science & Policy,Wisdom
Mar-15,263,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,264,Info Temp,Wales,Wisdom
Mar-15,265,Information Architect  ,Operations ,Wisdom
Mar-15,266,Information Architect  ,Northern Ireland,Wisdom
Mar-15,267,Information Architect  ,Operations ,Wisdom
Mar-15,268,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,269,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,270,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Mar-15,271,Information Architect  ,Operations ,Wisdom
Mar-15,272,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Mar-15,273,Information Architect  ,Northern Ireland,Wisdom
Mar-15,274,Information Governance Manager,External - FSA Contractor,Data Protection Advice
Mar-15,275,Information Architect  ,Operations ,Wisdom
Mar-15,276,Information Management  Team Leader,Science & Policy,Wisdom
Mar-15,277,Information Management  Team Leader,Finance & Strategic Planning,Offsite Storage Issues
Mar-15,278,Information Architect  ,Communications,Wisdom
Mar-15,279,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,280,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,281,Information Architect  ,Operations ,Wisdom
Mar-15,282,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Mar-15,283,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Mar-15,284,Information Architect  ,Science & Policy,Wisdom
Mar-15,285,Information Architect  ,Human Resources,Wisdom
Mar-15,286,Information Management  Team Leader,Operations ,Wisdom
Mar-15,287,Information Management  Team Leader,Human Resources,Wisdom
Mar-15,288,Information Architect  ,Northern Ireland,Wisdom
Mar-15,289,Information Architect  ,Operations ,Information Asset Register
Mar-15,290,Information Architect  ,Northern Ireland,Wisdom
Mar-15,291,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,292,Information Governance Manager,Communications,s29 data protection Requests
Mar-15,293,Information Architect  ,Science & Policy,Network Drives
Mar-15,294,Information Architect  ,Science & Policy,Wisdom
Mar-15,295,Information Governance Manager,Private Office,Data Protection Advice
Mar-15,296,Information Governance Manager,Science & Policy,Data Sharing
Mar-15,297,Information Architect  ,Science & Policy,Wisdom
Mar-15,298,Information Architect  ,Science & Policy,Wisdom
Mar-15,299,Information Architect  ,Communications,Wisdom
Mar-15,300,Information Management  Team Leader,Finance & Strategic Planning,Historical Records
Mar-15,301,Information Architect  ,Northern Ireland,Wisdom
Mar-15,302,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Mar-15,303,Information Architect  ,Science & Policy,Wisdom
Mar-15,304,Information Architect  ,Human Resources,Wisdom
Mar-15,305,Information Architect  ,Operations ,Wisdom
Mar-15,306,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Mar-15,307,Information Governance Manager,Human Resources,Data Protection Advice
Feb-15,308,Information Governance Manager,Finance & Strategic Planning,Info Assurance Questionnaire
Mar-15,309,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,310,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,311,Information Architect  ,Northern Ireland,Wisdom
Mar-15,312,Information Governance EO,Operations ,Email
Mar-15,313,Information Governance Manager,Operations ,Data Protection Advice
Mar-15,314,Information Architect  ,Communications,Wisdom
Mar-15,315,Information Governance Caseworker ,Science & Policy,Data Protection Advice
Mar-15,316,Info Temp,Human Resources,Data Protection Advice
Mar-15,317,Information Architect  ,Private Office,Wisdom
Mar-15,318,Information Governance Manager,Science & Policy,Privacy Impact Assessments
Mar-15,319,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,320,Information Management  Team Leader,External - FSA Contractor,Wisdom
Mar-15,321,Information Management  Team Leader,Operations ,Data Sharing
Mar-15,322,Information Architect  ,Private Office,Wisdom
Mar-15,323,Information Architect  ,Science & Policy,Wisdom
Mar-15,324,Information Architect  ,Northern Ireland,Wisdom
Mar-15,325,Information Architect  ,Northern Ireland,Wisdom
Mar-15,326,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,327,Information Architect  ,Northern Ireland,Wisdom
Mar-15,328,Information Architect  ,Science & Policy,Wisdom
Mar-15,329,Information Architect  ,Operations ,Wisdom
Mar-15,330,Information Architect  ,Operations ,Wisdom
Mar-15,331,Info Temp,Science & Policy,Email
Mar-15,332,Information Governance Manager,Finance & Strategic Planning,Data Sharing
Mar-15,333,Info Temp,External - Non-Government,Freedom of Information
Mar-15,334,Information Governance Manager,Science & Policy,Data Protection Advice
Apr-15,335,Information Governance EO,Science & Policy,Wisdom
Mar-15,336,Information Architect  ,Operations ,Wisdom
Mar-15,337,Information Architect  ,Finance & Strategic Planning,Wisdom
Mar-15,338,Information Management  Team Leader,Operations ,Historical Records
Mar-15,339,Information Architect  ,Northern Ireland,Wisdom
Mar-15,340,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,341,Information Architect  ,Private Office,Wisdom
Apr-15,342,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,343,Information Management  Team Leader,Operations ,Data Sharing
Apr-15,344,Information Management  Team Leader,Private Office,Wisdom
Apr-15,345,Information Architect  ,Operations ,Wisdom
Apr-15,346,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,347,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,348,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,349,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,350,Information Management  Team Leader,Finance & Strategic Planning,Data Sharing
Apr-15,351,Information Architect  ,Science & Policy,Wisdom
Apr-15,352,Information Governance Caseworker ,External - Other Government Dept,Information Asset Register
Apr-15,353,Information Management  Team Leader,Science & Policy,Privacy Impact Assessments
Apr-15,354,Information Architect  ,Science & Policy,Wisdom
Apr-15,355,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,356,Information Architect  ,Science & Policy,Wisdom
Apr-15,357,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,358,Information Management  Team Leader,Finance & Strategic Planning,Email
Apr-15,359,Information Architect  ,Operations ,Wisdom
Apr-15,360,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,361,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Apr-15,362,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,363,Information Management  Team Leader,Private Office,Wisdom
Apr-15,364,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Apr-15,365,Information Governance EO,Science & Policy,Email
Apr-15,366,Information Architect  ,Wales,Wisdom
Apr-15,367,Information Management  Team Leader,Operations ,Wisdom
Apr-15,368,Information Architect  ,Science & Policy,Wisdom
Apr-15,369,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,370,Information Management  Team Leader,Science & Policy,Wisdom
Apr-15,371,Information Architect  ,Operations ,Wisdom
Apr-15,372,Information Architect  ,Science & Policy,Wisdom
Apr-15,373,Information Governance EO,Operations ,Email
Apr-15,374,Information Architect  ,Operations ,Wisdom
Apr-15,375,Information Architect  ,Science & Policy,Wisdom
Apr-15,376,Information Architect  ,Operations ,Wisdom
Apr-15,377,Information Governance EO,Science & Policy,Email
Apr-15,378,Information Governance Manager,Northern Ireland,Data Sharing
Apr-15,379,Information Governance Manager,Science & Policy,Data Protection Advice
Apr-15,380,Information Governance Caseworker ,Science & Policy,Data Sharing
Apr-15,381,Information Governance EO,Human Resources,Offsite Storage Issues
Apr-15,382,Information Architect  ,Science & Policy,Wisdom
Apr-15,383,Information Architect  ,External - FSA Contractor,Records Mgmt Advice
Apr-15,384,Information Architect  ,Communications,Wisdom
Apr-15,385,Information Architect  ,Science & Policy,Wisdom
Apr-15,386,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Apr-15,387,Information Architect  ,Science & Policy,Wisdom
Apr-15,388,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,389,Information Governance Manager,Human Resources,Data Protection Advice
Apr-15,390,Information Architect  ,Operations ,Wisdom
Apr-15,391,Information Architect  ,Wales,Wisdom
Apr-15,392,Information Governance Manager,Operations ,Data Protection Advice
Apr-15,393,Information Architect  ,Operations ,Information Asset Register
Apr-15,394,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,395,Information Architect  ,Operations ,Wisdom
Apr-15,396,Information Architect  ,Communications,Wisdom
Apr-15,397,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,398,Information Architect  ,Operations ,Wisdom
Apr-15,399,Information Architect  ,Northern Ireland,Wisdom
Apr-15,400,Information Architect  ,Northern Ireland,Wisdom
Apr-15,401,Information Governance Manager,Human Resources,Data Protection Advice
Apr-15,402,Information  Governance Manager Temp,Operations ,Data Protection Advice
Apr-15,403,Information  Governance Manager Temp,Operations ,Data Protection Advice
Apr-15,404,Information Architect  ,Science & Policy,Wisdom
Apr-15,405,Information Architect  ,Science & Policy,Wisdom
Apr-15,406,Information Architect  ,Operations ,Wisdom
Apr-15,407,Information Architect  ,Operations ,Wisdom
Apr-15,408,Information Architect  ,Operations ,Wisdom
Apr-15,409,Information Architect  ,Wales,Wisdom
Apr-15,410,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Apr-15,411,Information Architect  ,Science & Policy,Wisdom
Apr-15,412,Information Governance Manager,Finance & Strategic Planning,Privacy Impact Assessments
May-15,413,Information Architect  ,Science & Policy,Wisdom
May-15,414,Information Governance EO,Regulatory & Legal Strategy,Email
May-15,415,Information Architect  ,Science & Policy,Wisdom
May-15,416,Information Architect  ,Operations ,Wisdom
May-15,417,Information Architect  ,Operations ,Wisdom
May-15,418,Information Architect  ,Northern Ireland,Wisdom
May-15,419,Information Architect  ,Science & Policy,Wisdom
May-15,420,Information Architect  ,Regulatory & Legal Strategy,Wisdom
May-15,421,Information Management  Team Leader,Wales,Wisdom
May-15,422,Information Architect  ,Finance & Strategic Planning,Wisdom
Apr-15,423,Information Management  Team Leader,External - FSA Contractor,Wisdom
May-15,424,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,425,Information Governance Caseworker ,Operations ,Data Sharing
May-15,426,Information Architect  ,Operations ,Wisdom
May-15,427,Information Governance EO,Human Resources,Offsite Storage Issues
May-15,428,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,429,Information Governance Manager,Northern Ireland,Data Sharing
May-15,430,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,431,Information Architect  ,External - FSA Contractor,FEDS
May-15,432,Information Architect  ,Science & Policy,Wisdom
May-15,433,Information Architect  ,Operations ,Wisdom
May-15,434,Information Architect  ,Science & Policy,Wisdom
May-15,435,Information  Governance Manager Temp,Science & Policy,Data Sharing
Jan-15,436,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Feb-15,437,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Feb-15,438,Information Governance Manager,Finance & Strategic Planning,Data Protection Advice
Mar-15,439,Information Governance Manager,Operations ,Data Protection Advice
Apr-15,440,Information Governance Caseworker ,Finance & Strategic Planning,Data Protection Advice
May-15,441,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,442,Information Governance EO,Operations ,Email
May-15,443,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,444,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,445,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,446,Information Governance Manager,Science & Policy,Data Protection Advice
May-15,447,Information Governance EO,Operations ,Email
May-15,448,Information Architect  ,Communications,Wisdom
